year,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,通過順,上がり3F,単勝,人気,馬体重
2015,1,2,ストレイトガール,牝6,55,戸崎圭太,1:08.1,,8-9,33.1,4.4,1,462(0)
2015,2,4,サクラゴスペル,牡7,57,横山典弘,1:08.2,3/4,5-6,33.4,28.8,11,482(-10)
2015,3,6,ウキヨノカゼ,牝5,55,四位洋文,1:08.3,クビ,13-12,32.8,19.6,9,478(-6)
2015,7,13,ミッキーアイル,牡4,57,浜中俊,1:08.3,アタマ,2-3,33.8,6.5,4,478(-2)
2015,6,12,ウリウリ,牝5,55,岩田康誠,1:08.3,クビ,11-9,33.1,5.0,3,466(+2)
2015,1,1,リッチタペストリー,セ7,57,ルメール,1:08.3,アタマ,7-7,33.4,14.7,6,500(-1)
2015,6,11,レッドオーヴァル,牝5,55,蛯名正義,1:08.4,1/2,5-4,33.6,31.5,12,442(-2)
2015,3,5,スギノエンデバー,牡7,57,松山弘平,1:08.6,1.1/2,11-13,33.4,126.3,15,456(-6)
2015,5,9,アクティブミノル,牡3,55,藤岡康太,1:08.7,クビ,2-2,34.2,16.6,8,476(0)
2015,8,16,ティーハーフ,牡5,57,国分優作,1:08.8,1/2,14-13,33.1,15.0,7,454(+2)
2015,2,3,リトルゲルダ,牝6,55,川田将雅,1:08.8,ハナ,10-11,33.7,89.8,14,496(-4)
2015,4,8,ハクサンムーン,牡6,57,酒井学,1:08.8,クビ,1-1,34.7,11.8,5,480(-6)
2015,4,7,ベルカント,牝4,55,武豊,1:08.9,クビ,4-4,34.2,4.6,2,482(-8)
2015,8,15,コパノリチャード,牡5,57,Ｍ．デム,1:08.9,同着,8-7,33.9,27.5,10,490(-6)
2015,7,14,フラアンジェリコ,牡7,57,北村宏司,1:09.2,1.3/4,14-15,33.4,87.3,13,520(+2)
2015,5,10,マジンプロスパー,牡8,57,三浦皇成,,,,,,,
2016,7,13,レッドファルクス,牡5,57,Ｍ．デム,1:07.6,,9-7,33.5,9.2,3,472(+6)
2016,8,15,ミッキーアイル,牡5,57,松山弘平,1:07.6,アタマ,1-1,34.2,8.2,2,486(-4)
2016,2,4,ソルヴェイグ,牝3,53,田辺裕信,1:07.6,クビ,2-4,34.0,27.1,9,460(-10)
2016,3,5,シュウジ,牡3,55,川田将雅,1:07.7,クビ,2-2,34.1,13.6,5,504(+12)
2016,4,7,スノードラゴン,牡8,57,大野拓弥,1:07.7,ハナ,10-10,33.4,37.9,12,510(+2)
2016,8,16,ネロ,牡5,57,内田博幸,1:07.7,アタマ,2-2,34.1,25.1,8,466(+2)
2016,5,9,サトノルパン,牡5,57,和田竜二,1:07.8,クビ,5-5,34.0,97.3,14,448(-14)
2016,2,3,ティーハーフ,牡6,57,池添謙一,1:07.8,ハナ,12-11,33.3,105.6,16,458(-6)
2016,6,12,レッツゴードンキ,牝4,55,岩田康誠,1:07.8,クビ,15-13,32.9,19.7,7,478(+2)
2016,3,6,ベルカント,牝5,55,蛯名正義,1:07.9,クビ,7-8,33.9,37.8,11,490(+2)
2016,1,2,ブランボヌール,牝3,53,武豊,1:07.9,クビ,7-8,33.9,14.0,6,446(+8)
2016,1,1,ビッグアーサー,牡5,57,福永祐一,1:08.0,1/2,5-5,34.2,1.8,1,520(-4)
2016,7,14,ウリウリ,牝6,55,戸崎圭太,1:08.0,アタマ,15-16,33.1,29.8,10,468(0)
2016,5,10,レッドアリオン,牡6,57,川須栄彦,1:08.1,クビ,13-13,33.4,102.5,15,478(+4)
2016,6,11,ダンスディレクター,牡6,57,浜中俊,1:08.1,アタマ,13-15,33.4,10.9,4,444(0)
2016,4,8,サクラゴスペル,牡8,57,横山典弘,1:08.3,1.1/4,11-12,33.9,92.8,13,482(-12)
2017,4,8,レッドファルクス,牡6,57,Ｍ．デム,1:07.6,,11-10,33.0,3.2,1,474(0)
2017,1,2,レッツゴードンキ,牝5,55,岩田康誠,1:07.6,クビ,9-7,33.1,10.8,5,496(0)
2017,3,6,ワンスインナムーン,牝4,55,石橋脩,1:07.7,1/2,1-1,33.8,16.0,7,452(0)
2017,1,1,スノードラゴン,牡9,57,大野拓弥,1:07.7,クビ,12-12,33.0,103.3,16,510(+6)
2017,6,12,ブリザード,セ6,57,モッセ,1:07.8,クビ,7-7,33.4,32.6,12,504(-6)
2017,5,10,ビッグアーサー,牡6,57,福永祐一,1:07.8,クビ,3-2,33.6,16.1,8,522(+3)
2017,5,9,メラグラーナ,牝5,55,戸崎圭太,1:07.9,1/2,14-14,33.1,5.7,2,522(-10)
2017,8,16,ダンスディレクター,牡7,57,浜中俊,1:07.9,アタマ,9-10,33.4,16.6,9,436(+2)
2017,2,4,フィドゥーシア,牝5,55,三浦皇成,1:07.9,ハナ,3-2,33.7,37.7,13,474(-6)
2017,8,15,シュウジ,牡4,57,横山典弘,1:08.0,1/2,16-15,32.7,46.3,14,490(-2)
2017,2,3,セイウンコウセイ,牡4,57,幸英明,1:08.1,クビ,7-5,33.8,6.1,3,498(-4)
2017,7,13,ファインニードル,牡4,57,内田博幸,1:08.3,1.1/4,3-7,34.1,14.1,6,470(+6)
2017,3,5,ラインミーティア,牡7,57,西田雄一,1:08.3,ハナ,15-15,33.3,27.1,10,476(+6)
2017,6,11,モンドキャンノ,牡3,55,池添謙一,1:08.3,アタマ,12-12,33.6,30.8,11,474(+2)
2017,4,7,ダイアナヘイロー,牝4,55,武豊,1:08.3,アタマ,2-2,34.2,10.4,4,476(0)
2017,7,14,ネロ,牡6,57,勝浦正樹,1:08.3,ハナ,3-5,34.1,103.1,15,472(+6)
2018,4,8,ファインニードル,牡5,57,川田将雅,1:08.3,,6-8,34.5,2.8,1,470(0)
2018,5,9,ラブカンプー,牝3,53,和田竜二,1:08.3,クビ,2-2,35.1,31.7,11,436(+2)
2018,1,1,ラインスピリット,牡7,57,武豊,1:08.4,1/2,3-4,35.0,63.7,13,444(+2)
2018,3,6,ダイメイプリンセス,牝5,55,秋山真一,1:08.5,クビ,12-9,34.4,30.8,10,506(+4)
2018,5,10,レッツゴードンキ,牝6,55,岩田康誠,1:08.6,3/4,13-11,34.3,11.8,4,490(-8)
2018,2,3,ワンスインナムーン,牝5,55,石橋脩,1:08.7,クビ,1-1,35.7,10.8,3,454(+6)
2018,6,12,ナックビーナス,牝5,55,モレイラ,1:08.7,アタマ,3-2,35.3,3.4,2,520(-2)
2018,4,7,キャンベルジュニア,牡6,57,田辺裕信,1:08.9,1.1/4,9-11,34.9,55.3,12,532(0)
2018,1,2,ヒルノデイバロー,牡7,57,四位洋文,1:08.9,ハナ,6-6,35.1,127.0,15,502(-10)
2018,8,16,レッドファルクス,牡7,57,戸崎圭太,1:09.0,1/2,13-14,34.7,13.3,5,476(-4)
2018,7,13,ティーハーフ,牡8,57,国分優作,1:09.0,クビ,15-11,34.6,303.8,16,454(-8)
2018,6,11,セイウンコウセイ,牡5,57,池添謙一,1:09.2,1,3-4,35.7,14.8,8,504(+4)
2018,8,15,ムーンクエイク,セ5,57,ルメール,1:09.2,クビ,15-16,34.7,14.5,7,510(+8)
2018,3,5,アレスバローズ,牡6,57,藤岡佑介,1:09.5,1.3/4,6-6,35.8,13.5,6,492(+2)
2018,2,4,スノードラゴン,牡10,57,大野拓弥,1:10.3,5,9-9,36.4,100.3,14,512(0)
2018,7,14,ラッキーバブルズ,セ7,57,プレブル,,,9-14,,29.8,9,492(+15)
2019,4,8,タワーオブロンドン,牡4,57,ルメール,1:07.1,,11-8,33.5,2.9,2,514(-2)
2019,4,7,モズスーパーフレア,牝4,55,松若風馬,1:07.2,1/2,1-1,34.4,6.2,3,502(-4)
2019,1,2,ダノンスマッシュ,牡4,57,川田将雅,1:07.2,クビ,7-8,33.7,2.8,1,470(-8)
2019,7,13,ミスターメロディ,牡4,57,福永祐一,1:07.4,1,4-2,34.1,15.7,6,502(+6)
2019,3,5,レッツゴードンキ,牝7,55,岩田康誠,1:07.5,1/2,14-14,33.4,47.0,9,490(-12)
2019,6,12,ダイメイプリンセス,牝6,55,秋山真一,1:07.5,ハナ,7-5,34.0,71.3,12,504(0)
2019,7,14,ハッピーアワー,牡3,55,横山典弘,1:07.6,3/4,16-16,33.1,194.4,13,434(-12)
2019,3,6,ノーワン,牝3,53,内田博幸,1:07.8,1.1/4,12-10,33.9,195.9,14,468(-6)
2019,2,4,リナーテ,牝5,55,三浦皇成,1:07.9,1/2,12-10,34.0,14.9,5,486(-2)
2019,1,1,アレスバローズ,牡7,57,菱田裕二,1:08.0,3/4,14-14,33.9,55.0,11,484(-8)
2019,8,15,イベリス,牝3,53,浜中俊,1:08.0,クビ,4-5,34.8,49.1,10,464(0)
2019,2,3,セイウンコウセイ,牡6,57,幸英明,1:08.1,3/4,4-5,34.9,41.4,8,500(-2)
2019,5,9,ディアンドル,牝3,53,藤岡佑介,1:08.6,3,7-10,35.1,8.9,4,488(+2)
2019,6,11,マルターズアポジー,牡7,57,丸山元気,1:08.7,3/4,2-2,35.7,205.6,15,536(+6)
2019,5,10,ラブカンプー,牝4,55,酒井学,1:08.8,クビ,7-10,35.4,219.9,16,436(+2)
2019,8,16,ファンタジスト,牡3,55,武豊,1:09.3,3,2-2,36.3,26.5,7,482(0)
2020,5,10,グランアレグリア,牝4,55,ルメール,1:08.3,,15-15,33.6,2.2,1,504(+12)
2020,2,3,ダノンスマッシュ,牡5,57,川田将雅,1:08.6,2,4-4,35.0,5.1,3,472(+2)
2020,8,16,アウィルアウェイ,牝4,55,松山弘平,1:08.7,1/2,16-16,33.7,60.9,10,478(-4)
2020,4,7,ミスターメロディ,牡5,57,福永祐一,1:08.8,1/2,7-3,35.0,23.7,7,492(-2)
2020,8,15,クリノガウディー,牡4,57,三浦皇成,1:09.0,1,13-13,34.6,46.1,9,490(0)
2020,7,13,レッドアンシェル,牡6,57,Ｍ．デム,1:09.0,アタマ,11-11,34.7,13.3,4,474(-4)
2020,3,5,メイショウグロッケ,牝6,55,浜中俊,1:09.1,1/2,5-7,35.4,101.0,12,460(-4)
2020,1,1,ダイメイプリンセス,牝7,55,秋山真一,1:09.1,ハナ,8-9,35.1,271.7,15,504(+2)
2020,3,6,ライトオンキュー,牡5,57,古川吉洋,1:09.1,ハナ,5-6,35.4,16.4,6,512(0)
2020,1,2,モズスーパーフレア,牝5,55,松若風馬,1:09.3,1,1-1,36.5,3.9,2,502(-6)
2020,7,14,エイティーンガール,牝4,55,池添謙一,1:09.3,ハナ,14-13,34.8,37.1,8,448(-8)
2020,2,4,キングハート,牡7,57,北村宏司,1:09.3,クビ,8-7,35.3,383.0,16,500(-4)
2020,5,9,ダイアトニック,牡5,57,横山典弘,1:09.7,2.1/2,8-10,35.7,14.5,5,474(-2)
2020,4,8,ダイメイフジ,牡6,57,菱田裕二,1:09.7,アタマ,11-11,35.4,156.2,13,506(-14)
2020,6,11,ラブカンプー,牝5,55,斎藤新,1:09.8,1/2,3-4,36.4,214.5,14,448(-2)
2020,6,12,ビアンフェ,牡3,55,藤岡佑介,1:10.3,3,2-2,37.5,67.1,11,560(0)
2021,2,4,ピクシーナイト,牡3,55,福永祐一,1:07.1,,3-2,33.4,5.3,3,538(+2)
2021,6,12,レシステンシア,牝4,55,ルメール,1:07.4,2,4-4,33.5,3.4,2,506(-2)
2021,1,1,シヴァージ,牡6,57,吉田隼人,1:07.4,アタマ,5-5,33.4,47.5,10,500(+6)
2021,3,6,メイケイエール,牝3,53,池添謙一,1:07.8,2.1/2,7-7,33.5,24.9,7,470(-8)
2021,8,16,モズスーパーフレア,牝6,55,松若風馬,1:07.8,ハナ,1-1,34.5,15.3,5,504(0)
2021,7,14,ダノンスマッシュ,牡6,57,川田将雅,1:07.8,アタマ,5-6,33.8,2.6,1,470(+1)
2021,4,8,ビアンフェ,セ4,57,藤岡佑介,1:07.9,クビ,2-2,34.3,43.8,9,564(+4)
2021,5,9,クリノガウディー,牡5,57,岩田康誠,1:08.0,1/2,7-10,33.8,15.6,6,488(0)
2021,1,2,ミッキーブリランテ,牡5,57,和田竜二,1:08.0,クビ,7-7,33.7,92.3,13,468(-4)
